City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
118,Kolvereid,NO,64.8655,11.6047,34.99,93,100,33.02,snow
119,Portobelo,PA,9.55,-79.65,76.62,84,16,12.77,few clouds
120,Najran,SA,17.4924,44.1277,70.45,58,2,5.73,clear sky
121,Bredasdorp,ZA,-34.5322,20.0403,67.32,64,34,16.11,scattered clouds
122,Fredericksburg,US,38.3032,-77.4605,37.0,76,100,1.99,overcast clouds
123,Pemangkat,ID,1.1667,108.9667,85.06,66,97,8.61,overcast clouds
124,Perth,AU,-31.9333,115.8333,109.02,10,0,12.66,clear sky
125,Lasa,IT,46.6166,10.7002,40.46,94,40,8.3,scattered clouds
126,Luanda,AO,-8.8368,13.2343,75.2,83,75,6.91,broken clouds
127,Yulara,AU,-25.2406,130.9889,85.84,19,0,11.5,clear sky
128,Castro,BR,-24.7911,-50.0119,64.24,98,79,4.5,broken clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,67.08,85,100,1.01,light rain
130,Karratha,AU,-20.7377,116.8463,93.94,52,68,17.9,broken clouds
131,Narasannapeta,IN,18.4167,84.05,78.42,29,61,5.88,broken clouds
132,Rabo De Peixe,PT,37.8,-25.5833,56.71,87,20,6.91,few clouds
133,Maua,BR,-23.6678,-46.4614,71.4,94,92,5.17,overcast clouds
134,Vieux-Habitants,GP,16.0589,-61.7659,73.71,81,29,9.35,scattered clouds
135,Awjilah,LY,29.1081,21.2869,48.27,79,0,5.35,clear sky
136,Mahajanga,MG,-15.7167,46.3167,80.62,89,40,10.36,scattered clouds
137,Roald,NO,62.5833,6.1333,39.0,65,20,27.63,light rain
138,Bakchar,RU,57.0186,82.0711,19.53,80,100,10.27,overcast clouds
139,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
140,Itaqui,BR,-29.1253,-56.5531,78.04,68,100,9.46,moderate rain
141,Coihaique,CL,-45.5752,-72.0662,54.21,76,0,4.61,clear sky
142,Chuy,UY,-33.6971,-53.4616,68.04,94,44,3.76,scattered clouds
143,Aracruz,BR,-19.8203,-40.2733,74.41,96,100,3.38,overcast clouds
144,Katyuzhanka,UA,50.806,30.1376,25.02,95,84,8.9,broken clouds
145,Paita,PE,-5.0892,-81.1144,70.83,84,51,10.31,broken clouds
146,Haines Junction,CA,60.7522,-137.5108,-11.25,77,100,1.14,overcast clouds
147,Tambopata,PE,-12.7333,-69.1833,70.92,99,90,2.15,overcast clouds
148,Bengkulu,ID,-3.8004,102.2655,78.24,79,100,2.84,light rain
149,Mingaora,PK,34.7758,72.3625,49.17,20,0,3.67,clear sky
150,Ribeira Grande,PT,38.5167,-28.7,58.86,79,21,5.61,few clouds
151,Blytheville,US,35.9273,-89.919,28.36,88,12,7.45,few clouds
152,Derzhavinsk,KZ,51.1,66.3167,15.93,75,100,12.97,overcast clouds
153,Udala,ES,43.0778,-2.5125,46.8,98,99,4.05,overcast clouds
154,Lerik,AZ,38.7726,48.4128,34.52,84,100,3.29,overcast clouds
155,Margate,GB,51.3813,1.3862,39.74,82,1,1.99,clear sky
156,Timra,SE,62.487,17.3257,17.31,93,53,2.3,fog
157,Bangui,CF,4.3612,18.555,64.58,82,92,0.0,overcast clouds
158,Akdepe,TM,42.0551,59.3788,41.0,50,100,5.06,overcast clouds
159,Saint-Marc,HT,19.1082,-72.6938,73.06,76,0,7.34,clear sky
160,Artesia,US,33.8658,-118.0831,64.38,32,0,0.0,clear sky
161,San Cristobal,VE,7.7669,-72.225,71.78,92,52,3.0,broken clouds
162,Busselton,AU,-33.65,115.3333,108.05,33,6,9.42,clear sky
163,Beirut,LB,33.8889,35.4944,50.74,82,75,5.75,drizzle
164,Ust-Kuyga,RU,70.0167,135.6,-36.02,100,99,4.14,overcast clouds
165,Aripuana,BR,-9.1667,-60.6333,72.09,99,100,2.24,overcast clouds
166,Plettenberg Bay,ZA,-34.0527,23.3716,63.77,73,0,6.24,clear sky
167,Kismayo,SO,-0.3582,42.5454,79.92,75,46,15.1,scattered clouds
168,Hithadhoo,MV,-0.6,73.0833,82.17,74,97,12.55,overcast clouds
169,Marsa Matruh,EG,31.3525,27.2453,53.8,66,40,10.36,scattered clouds
170,Half Moon Bay,US,37.4636,-122.4286,56.32,64,0,4.61,clear sky
171,Saint Andrews,US,34.0454,-81.1293,56.7,76,20,18.41,few clouds
172,Payo,ID,-3.7508,103.6372,76.77,87,100,1.77,overcast clouds
173,Saint-Georges,GD,12.0564,-61.7485,76.68,83,75,12.66,broken clouds
174,Cabedelo,BR,-6.9811,-34.8339,79.47,77,6,9.57,clear sky
175,Thompson,CA,55.7435,-97.8558,-23.64,76,0,0.0,clear sky
176,Dicabisagan,PH,17.0818,122.4157,75.47,83,97,10.92,overcast clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,63.95,70,0,1.66,clear sky
178,Grand Gaube,MU,-20.0064,57.6608,81.0,82,100,11.01,overcast clouds
179,Lumeje,AO,-11.55,20.7833,63.21,94,99,3.47,overcast clouds
180,Leticia,CO,-4.2153,-69.9406,75.25,94,75,2.3,broken clouds
181,Karasjok,NO,69.4719,25.5112,15.91,92,100,18.66,light snow
182,Almaznyy,RU,48.0448,40.045,26.74,92,99,10.6,overcast clouds
183,Cap Malheureux,MU,-19.9842,57.6142,81.09,82,100,11.01,overcast clouds
184,Wenatchee,US,47.4235,-120.3103,47.23,86,0,5.75,clear sky
185,Chicama,PE,-7.8447,-79.1469,70.83,76,66,5.26,broken clouds
186,Mount Gambier,AU,-37.8333,140.7667,80.51,41,40,20.71,scattered clouds
187,Samfya,ZM,-11.3649,29.5565,63.14,94,100,3.96,overcast clouds
188,Zhurivka,UA,50.5028,31.7849,21.18,100,100,6.02,overcast clouds
189,Menongue,AO,-14.6585,17.691,61.47,97,100,3.71,moderate rain
190,Mitsamiouli,KM,-11.3847,43.2844,82.69,83,75,12.66,light rain
191,Mazyr,BY,52.0495,29.2456,20.17,95,100,11.97,light snow
