City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Arman,RU,2022-02-05 03:11:14,59.7,150.1667,5.99,71,48,12.33
108,Severo-Kurilsk,RU,2022-02-05 03:05:27,50.6789,156.125,31.26,85,92,9.22
109,Morondava,MG,2022-02-05 03:11:15,-20.2833,44.2833,79.18,70,86,6.22
110,Bereda,ES,2022-02-05 03:11:15,43.2686,-7.5406,46.0,100,93,5.19
111,Port Alfred,ZA,2022-02-05 03:04:56,-33.5906,26.891,69.1,82,94,9.89
112,Chokurdakh,RU,2022-02-05 03:05:20,70.6333,147.9167,-30.24,100,12,1.39
113,Avarua,CK,2022-02-05 03:05:48,-21.2078,-159.775,82.45,78,40,12.66
114,Korhogo,CI,2022-02-05 03:11:15,9.45,-5.6333,67.08,16,7,1.83
115,Maarianhamina,AX,2022-02-05 03:11:16,60.0973,19.9348,33.66,100,100,6.91
116,Luanda,AO,2022-02-05 03:11:16,-8.8368,13.2343,75.34,81,99,5.53
117,Madras,IN,2022-02-05 03:09:28,13.0878,80.2785,78.78,88,75,2.3
118,Kavieng,PG,2022-02-05 03:05:45,-2.5744,150.7967,83.97,70,100,6.8
119,Ashta,IN,2022-02-05 03:11:16,23.0167,76.7167,58.75,29,0,1.54
120,Lebu,CL,2022-02-05 03:06:05,-37.6167,-73.65,57.76,85,78,17.02
121,Khalkhal,IR,2022-02-05 03:11:17,37.6189,48.5258,28.36,97,95,6.71
122,Port Augusta,AU,2022-02-05 03:05:42,-32.5,137.7667,90.72,19,7,7.96
123,Port-Cartier,CA,2022-02-05 03:11:17,50.0334,-66.8654,-1.25,89,100,7.94
124,Kavaratti,IN,2022-02-05 03:05:42,10.5669,72.642,77.68,59,82,4.74
125,Provideniya,RU,2022-02-05 03:01:05,64.3833,-173.3,0.07,68,1,10.18
126,Xining,CN,2022-02-05 03:11:18,36.6167,101.7667,14.99,83,100,2.68
127,Gorontalo,ID,2022-02-05 03:11:18,0.5412,123.0595,90.48,54,99,2.53
128,Husavik,IS,2022-02-05 03:06:57,66.0449,-17.3389,16.74,92,100,7.87
129,Usinsk,RU,2022-02-05 03:11:18,65.9939,57.5281,-4.07,100,98,5.37
130,Lavrentiya,RU,2022-02-05 03:05:24,65.5833,-171.0,-10.21,83,2,9.42
131,Bouake,CI,2022-02-05 03:11:19,7.6895,-5.0218,71.53,17,5,2.17
132,Omsukchan,RU,2022-02-05 03:11:19,62.5333,155.8,-11.78,80,7,8.57
133,Henderson,US,2022-02-05 03:10:26,36.0397,-114.9819,50.99,24,0,9.22
134,Sosua,DO,2022-02-05 03:11:20,19.7667,-70.5167,68.23,100,20,0.0
135,Bonavista,CA,2022-02-05 03:11:20,48.6499,-53.1147,29.12,94,100,22.66
136,Niquelandia,BR,2022-02-05 03:11:20,-14.4739,-48.4597,71.4,87,91,1.72
137,Hilo,US,2022-02-05 03:09:26,19.7297,-155.09,75.25,95,29,7.81
138,Ahuimanu,US,2022-02-05 03:11:21,21.4447,-157.8378,78.51,67,75,1.99
139,Severo-Yeniseyskiy,RU,2022-02-05 03:06:25,60.3725,93.0408,14.79,92,100,9.42
140,Victoria,HK,2022-02-05 03:02:39,22.2855,114.1577,61.25,76,90,1.99
141,Shimoda,JP,2022-02-05 03:05:59,34.6667,138.95,47.1,48,8,29.48
142,Jacareacanga,BR,2022-02-05 03:11:21,-6.2222,-57.7528,73.67,98,100,1.61
143,Castro,BR,2022-02-05 03:04:53,-24.7911,-50.0119,64.38,98,64,4.25
144,Bandarbeyla,SO,2022-02-05 03:11:22,9.4942,50.8122,71.91,75,0,3.78
145,Sabattus,US,2022-02-05 03:11:22,44.1198,-70.1076,18.34,89,100,11.5
146,Olafsvik,IS,2022-02-05 03:11:22,64.8945,-23.7142,27.23,65,100,22.55
147,Karasjok,NO,2022-02-05 03:06:58,69.4719,25.5112,14.11,94,100,20.71
148,Ancud,CL,2022-02-05 03:05:36,-41.8697,-73.8203,53.42,91,10,3.13
149,Bredasdorp,ZA,2022-02-05 03:05:05,-34.5322,20.0403,64.27,74,45,12.28
150,Palmerston,AU,2022-02-05 03:11:23,-12.486,130.9833,85.98,70,40,6.91
151,Alexandria,EG,2022-02-05 03:11:23,31.2156,29.9553,56.12,58,55,20.09
152,Abha,SA,2022-02-05 03:11:23,18.2164,42.5053,52.05,66,0,0.0
153,Okha,RU,2022-02-05 03:11:24,53.5739,142.9478,3.85,93,100,20.98
